subject_id	subject_label	object_id	object_label	verdict	new_candidates	only_in_oak	only_in_ols	notes
MIM:2-oxobutyric_Acid_Sodium_Salt	2-oxobutyric acid sodium salt	CHEBI:26714	sodium salt	SYNONYM_ENRICH	2-oxobutyric acid sodium salt|Sodium 2-oxobutyrate			
MIM:2-oxobutyric_Acid_Sodium_Salt	2-oxobutyric acid sodium salt	cas:2013-26-5	2-oxobutyric acid sodium salt	UNKNOWN_TERM				neither OAK nor OLS resolves cas:2013-26-5
MIM:2-oxobutyric_Acid_Sodium_Salt	2-oxobutyric acid sodium salt	kgmicrobe.compound:2-oxobutyric_acid_sodium_salt	2-oxobutyric acid sodium salt	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:2-oxobutyric_acid_sodium_salt
MIM:2-pentyl-furan	2-pentyl-furan	CHEBI:89197	2-pentylfuran	CONFIRMED				
MIM:2-undecanol	2-undecanol	CHEBI:77930	undecan-2-ol	CONFIRMED				
MIM:22-Dipyridyl	2,2'-Dipyridyl	CHEBI:30351	2,2'-bipyridine	CONFIRMED				
MIM:22-dibromo-2-cyanoacetamide	2,2-dibromo-2-cyanoacetamide	cas:10222-01-2	2,2-dibromo-2-cyanoacetamide	UNKNOWN_TERM				neither OAK nor OLS resolves cas:10222-01-2
MIM:2244688-heptamethylnonane	2,2,4,4,6,8,8-Heptamethylnonane	CHEBI:131383	2,2,4,4,6,8,8-heptamethylnonane	CONFIRMED				
MIM:23-butanediol	2,3-butanediol	CHEBI:62064	butane-2,3-diol	CONFIRMED				
MIM:235-Triphenyltetrazolium_Chloride	2,3,5-Triphenyltetrazolium chloride	CHEBI:78019	2,3,5-triphenyltetrazolium chloride	CONFIRMED				
MIM:23_dihydroxybenzoic_acid	2,3-dihydroxybenzoic acid	CHEBI:18026	2,3-dihydroxybenzoic acid	CONFIRMED				
