identifier	file	preferred_term	category	query	match_type	ontology_id	ontology	ontology_label	matched_term	standard_label_needed	missing_exact_synonyms	confidence	recommended_action
UNMAPPED_0156	data/ingredients/unmapped/Cadmium-NTA.yaml	Cadmium-NTA	SIMPLE_CHEMICAL	Cadmium-NTA	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0351	data/ingredients/unmapped/Calcium_Panthothenate.yaml	Calcium panthothenate	UNKNOWN	Calcium panthothenate|Calcium Panthothenate	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0170	data/ingredients/unmapped/Calf_Brains.yaml	Calf brains	UNKNOWN	Calf brains|Calf Brains	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0229	data/ingredients/unmapped/Calprotectin_S1.yaml	Calprotectin S1	UNKNOWN	Calprotectin S1	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0230	data/ingredients/unmapped/Calprotectin_S1S2.yaml	Calprotectin S1S2	SIMPLE_CHEMICAL	Calprotectin S1S2	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0352	data/ingredients/unmapped/Carbon_Source_Solution.yaml	Carbon source solution	SIMPLE_CHEMICAL	Carbon source solution|Carbon Source Solution	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0353	data/ingredients/unmapped/Casman-Agar-Base.yaml	Casman-Agar-Base	UNKNOWN	Casman-Agar-Base	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0102	data/ingredients/unmapped/Caso42h2osaturated_Solution.yaml	CaSO4•2H2Osaturated solution	SIMPLE_CHEMICAL	CaSO4•2H2Osaturated solution|Caso42h2osaturated Solution|CaSO4saturated solution|CaSO4•2H2Osaturated solution (Mallinckroft 4300)|CaSO4saturated solution (Mallinckroft 4300)	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0355	data/ingredients/unmapped/CeNO33_X_6_H2O.yaml	CeNO33 x 6 H2O	SIMPLE_CHEMICAL	CeNO33 x 6 H2O|CeNO33 X 6 H2O	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0354	data/ingredients/unmapped/Cellulose_MN_300.yaml	Cellulose MN 300	SIMPLE_CHEMICAL	Cellulose MN 300	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0356	data/ingredients/unmapped/Cereal_Leaves.yaml	Cereal leaves	UNKNOWN	Cereal leaves|Cereal Leaves	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0357	data/ingredients/unmapped/Cerophyll.yaml	Cerophyll	UNKNOWN	Cerophyll	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0095	data/ingredients/unmapped/Chelated_Iron_Solution.yaml	Chelated Iron Solution	SIMPLE_CHEMICAL	Chelated Iron Solution	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0248	data/ingredients/unmapped/Chitin_From_Shrimp_Shells.yaml	Chitin from shrimp shells	UNKNOWN	Chitin from shrimp shells|Chitin From Shrimp Shells|autoclaved	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0358	data/ingredients/unmapped/Cholesterol_Lipid_Concentrate.yaml	cholesterol lipid concentrate	UNKNOWN	cholesterol lipid concentrate|Cholesterol Lipid Concentrate	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0142	data/ingredients/unmapped/Choline_Lysine.yaml	Choline Lysine	UNKNOWN	Choline Lysine	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
