old_curie	current_curie	first_seen	retired_at	chain_length
MIM:Bismuth~28III~29_Chloride	MIM:Bismuth_Iii_Chloride	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Bis~283-aminopropyl~29amine	MIM:Bis_3-aminopropylamine	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Butane-1	MIM:Butane-14-diol	2026-08-14T21:56:33-07:00	2026-08-14T21:56:33-07:00	2
MIM:CaSO42H2Osaturated_solution	MIM:Caso42h2osaturated_Solution	2026-08-21	2026-08-21	2
MIM:Cacl22h2o_2	MIM:Cacl22h2o	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Calcium(2)	MIM:Calcium~282~29	2026-08-21	2026-08-21	2
MIM:Carbon_source_solution	MIM:Carbon_Source_Solution	2026-08-21	2026-08-21	2
MIM:Carnitine_~28Dl~29_Hydrochloride	MIM:Carnitine_Dl_Hydrochloride	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Caryophyllene_T~28-~29	MIM:Caryophyllene_T	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Casamino_Acids_~28vitamin_Assay~29	MIM:Casamino_Acids_Vitamin_Assay	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Ceftriaxone_Disodium_Salt_Hemi~28heptahydrate~29	MIM:Ceftriaxone_Disodium_Salt_Hemi_Heptahydrate	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Cholesterol_lipid_concentrate	MIM:Cholesterol_Lipid_Concentrate	2026-08-21	2026-08-21	2
MIM:Chromium~28III~29_Chloride_Hexahydrate	MIM:Chromium_Iii_Chloride_Hexahydrate	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Cobalt_~28III~29-EDTA	MIM:Cobalt_Iii-edta	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:D-~28-~29-Pantolactone	MIM:D-_-pantolactone	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:D-~28-~29-lyxose	MIM:D-_-lyxose	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:D-~28-~29-tagatose	MIM:D-_-tagatose	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:D-~28~29-Galactosamine_Hydrochloride	MIM:D-_-galactosamine_Hydrochloride	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:D-~28~29-Gluconic_Acid_Gamma-lactone	MIM:D-_-gluconic_Acid_Gamma-lactone	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:D-~28~29-Melezitose_Hydrate	MIM:D-_-melezitose_Hydrate	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:D-~28~29-Turanose	MIM:D-_-turanose	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:D-~28~29-melezitose_Monohydrate	MIM:D-_-melezitose_Monohydrate	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
