placeholder_curie	category	label	source_columns	occurrences
kgmicrobe.pathway:human_associated	biolink:BiologicalProcess	human_associated	faprotax:type_of_metabolism	424
kgmicrobe.trait:myo_inositol	biolink:PhenotypicQuality	myo-inositol	BacDive_Metabolite_utilization	421
kgmicrobe.trait:0_3	biolink:PhenotypicQuality	0.3	BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	409
kgmicrobe.trait:20	biolink:PhenotypicQuality	20	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth	408
kgmicrobe.trait:alpha_fucosidase	biolink:PhenotypicQuality	alpha-fucosidase	BacDive_Enzyme_activity	408
kgmicrobe.trait:0_1	biolink:PhenotypicQuality	0-1	BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	407
kgmicrobe.pathway:hydrocarbon_degradation	biolink:BiologicalProcess	hydrocarbon_degradation	faprotax:type_of_metabolism	406
kgmicrobe.trait:xylose	biolink:PhenotypicQuality	xylose	BacDive_Metabolite_utilization	404
kgmicrobe.trait:dnase	biolink:PhenotypicQuality	DNase	BacDive_Enzyme_activity	398
kgmicrobe.trait:30_37	biolink:PhenotypicQuality	30-37	BacDive_Temperature_for_growth	396
kgmicrobe.trait:novobiocin	biolink:PhenotypicQuality	novobiocin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	394
kgmicrobe.trait:alpha_d_glucose	biolink:PhenotypicQuality	alpha-D-glucose	BacDive_Metabolite_utilization	393
kgmicrobe.trait:decanoate	biolink:PhenotypicQuality	decanoate	BacDive_Metabolite_utilization	392
kgmicrobe.trait:3_hydroxybutyrate	biolink:PhenotypicQuality	3-hydroxybutyrate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	391
kgmicrobe.trait:2_3_days	biolink:PhenotypicQuality	2-3 days	BacDive_Incubation_period	383
kgmicrobe.trait:pyruvate	biolink:PhenotypicQuality	pyruvate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	381
kgmicrobe.trait:d_sorbitol	biolink:PhenotypicQuality	D-sorbitol	BacDive_Metabolite_utilization	380
kgmicrobe.trait:neomycin	biolink:PhenotypicQuality	neomycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	368
kgmicrobe.trait:nalidixic_acid	biolink:PhenotypicQuality	nalidixic acid	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	364
kgmicrobe.trait:tree	biolink:PhenotypicQuality	#Tree	BacDive_Isolation_category_3	360
kgmicrobe.trait:organ	biolink:PhenotypicQuality	#Organ	BacDive_Isolation_category_2	358
kgmicrobe.trait:lipase_c_14	biolink:PhenotypicQuality	lipase (C 14)	BacDive_Enzyme_activity	354
kgmicrobe.trait:freshwater	biolink:PhenotypicQuality	#Freshwater	BacDive_Isolation_category_3	353
kgmicrobe.trait:penicillin_g	biolink:PhenotypicQuality	penicillin g	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	353
kgmicrobe.trait:1_5	biolink:PhenotypicQuality	1-5	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	352
kgmicrobe.trait:0_10	biolink:PhenotypicQuality	0-10	BacDive_Salt_concentration|BacDive_Temperature_for_growth	351
kgmicrobe.trait:ovoid_shaped	biolink:PhenotypicQuality	ovoid-shaped	BacDive_Cell_shape	350
kgmicrobe.trait:0_8	biolink:PhenotypicQuality	0.8	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	349
kgmicrobe.trait:1_day	biolink:PhenotypicQuality	1 day	BacDive_Incubation_period	337
kgmicrobe.trait:35	biolink:PhenotypicQuality	35	BacDive_Temperature_for_growth	336
kgmicrobe.pathway:sulfate_respiration	biolink:BiologicalProcess	sulfate_respiration	faprotax:type_of_metabolism	334
kgmicrobe.trait:rifampicin	biolink:PhenotypicQuality	rifampicin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	334
kgmicrobe.trait:d_arabinose	biolink:PhenotypicQuality	D-arabinose	BacDive_Metabolite_utilization	332
kgmicrobe.trait:d_arabitol	biolink:PhenotypicQuality	D-arabitol	BacDive_Metabolite_utilization	331
kgmicrobe.trait:cytochrome_c_oxidase	biolink:PhenotypicQuality	cytochrome-c oxidase	BacDive_Enzyme_activity	329
kgmicrobe.trait:ribose	biolink:PhenotypicQuality	ribose	BacDive_Metabolite_utilization	325
kgmicrobe.trait:asparagine	biolink:PhenotypicQuality	asparagine	BacDive_Metabolite_utilization	320
kgmicrobe.trait:nitrite	biolink:PhenotypicQuality	nitrite	BacDive_Metabolite_production|BacDive_Metabolite_utilization	319
kgmicrobe.trait:tween_80	biolink:PhenotypicQuality	tween 80	BacDive_Antibiotic_resistance|BacDive_Metabolite_utilization	319
kgmicrobe.trait:25_37	biolink:PhenotypicQuality	25-37	BacDive_Temperature_for_growth	317
kgmicrobe.pathway:methanogenesis	biolink:BiologicalProcess	methanogenesis	bergey:type_of_metabolism|faprotax:type_of_metabolism|literature:type_of_metabolism	315
kgmicrobe.trait:mud_sludge	biolink:PhenotypicQuality	#Mud (Sludge)	BacDive_Isolation_category_3	312
kgmicrobe.trait:gliding	biolink:PhenotypicQuality	gliding	BacDive_Flagellum_arrangement	305
kgmicrobe.trait:rhizosphere	biolink:PhenotypicQuality	#Rhizosphere	BacDive_Isolation_category_3	304
kgmicrobe.trait:fucose	biolink:PhenotypicQuality	fucose	BacDive_Metabolite_utilization	302
kgmicrobe.trait:3_7_days	biolink:PhenotypicQuality	3-7 days	BacDive_Incubation_period	298
kgmicrobe.trait:thermal_spring	biolink:PhenotypicQuality	#Thermal spring	BacDive_Isolation_category_3	298
kgmicrobe.trait:0_7	biolink:PhenotypicQuality	0-7	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	296
kgmicrobe.trait:ornithine	biolink:PhenotypicQuality	ornithine	BacDive_Metabolite_utilization	295
kgmicrobe.pathway:human_pathogens_all	biolink:BiologicalProcess	human_pathogens_all	faprotax:type_of_metabolism	291
kgmicrobe.pathway:dark_hydrogen_oxidation	biolink:BiologicalProcess	dark_hydrogen_oxidation	faprotax:type_of_metabolism	288
kgmicrobe.trait:5_dehydro_d_gluconate	biolink:PhenotypicQuality	5-dehydro-D-gluconate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	288
kgmicrobe.trait:l_rhamnose	biolink:PhenotypicQuality	L-rhamnose	BacDive_Metabolite_utilization	287
